ts,pair_id,side,edge_raw,min_edge,queueAhead,A_filled,A_reason,B_filled,B_reason,diff_filled
2026-01-22T17:44:58.620Z,130,BUY_PM,-0.0202,-0.05,190,false,QUEUE_TIMEOUT,true,FILLED,-1
2026-01-22T17:44:58.622Z,138,BUY_PM,-0.0404,-0.05,294,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:45:34.456Z,157,BUY_PM,-0.029,-0.05,241,false,QUEUE_TIMEOUT,true,FILLED,-1
2026-01-22T17:45:34.456Z,160,BUY_PM,-0.039,-0.05,280,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:46:49.749Z,180,SELL_PM,0,-0.05,240,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:46:49.749Z,182,SELL_PM,0,-0.05,266,false,QUEUE_TIMEOUT,true,FILLED,-1
