ts,pair_id,side,edge_raw,min_edge,queueAhead,A_filled,A_reason,B_filled,B_reason,diff_filled
2026-01-22T17:53:25.077Z,130,BUY_PM,-0.0202,-0.05,190,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:53:25.079Z,138,BUY_PM,-0.0404,-0.05,294,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:54:01.306Z,157,BUY_PM,-0.029,-0.05,241,false,QUEUE_TIMEOUT,true,FILLED,-1
2026-01-22T17:54:01.306Z,160,BUY_PM,-0.039,-0.05,280,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:55:15.752Z,180,SELL_PM,0,-0.05,240,false,NO_FILL_CHANCE,true,FILLED,-1
2026-01-22T17:55:15.752Z,182,SELL_PM,0,-0.05,266,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:56:24.408Z,134,BUY_PM,-0.0505,-0.1,242,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:56:24.408Z,137,BUY_PM,-0.0707,-0.1,281,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:56:24.408Z,139,BUY_PM,-0.0909,-0.1,7,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:56:59.684Z,164,BUY_PM,-0.0891,-0.1,32,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:56:59.684Z,165,BUY_PM,-0.0891,-0.1,45,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:59:48.334Z,168,BUY_PM,-0.1291,-0.2,84,false,NO_FILL_CHANCE,true,FILLED,-1
