ts,pair_id,side,edge_raw,min_edge,queueAhead,A_filled,A_reason,B_filled,B_reason,diff_filled
2026-01-22T17:20:02.836Z,130,BUY_PM,-0.0202,-0.05,190,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:20:02.838Z,138,BUY_PM,-0.0404,-0.05,294,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:21:11.461Z,134,BUY_PM,-0.0505,-0.1,19,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:21:11.461Z,137,BUY_PM,-0.0707,-0.1,58,false,NO_FILL_CHANCE,false,NO_FILL_CHANCE,0
2026-01-22T17:21:11.461Z,139,BUY_PM,-0.0909,-0.1,84,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:26:28.016Z,157,BUY_PM,-0.029,-0.05,241,false,QUEUE_TIMEOUT,true,FILLED,-1
2026-01-22T17:26:28.016Z,160,BUY_PM,-0.039,-0.05,280,false,QUEUE_TIMEOUT,true,FILLED,-1
2026-01-22T17:27:36.534Z,164,BUY_PM,-0.0791,-0.1,109,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:27:36.534Z,165,BUY_PM,-0.0891,-0.1,122,false,QUEUE_TIMEOUT,false,NO_FILL_CHANCE,0
2026-01-22T17:28:44.829Z,168,BUY_PM,-0.1291,-0.2,238,false,QUEUE_TIMEOUT,true,FILLED,-1
